run_id,run_name,group,method,target,seed,step,metric,value
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,25000,elbo,-420.8502197265625
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,30000,elbo,-278.773681640625
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,35000,elbo,-377.4682312011719
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,40000,elbo,-0.30401483178138733
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,45000,elbo,-1.3544094562530518
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,50000,elbo,-637.2470703125
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,55000,elbo,-0.5881378650665283
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,60000,elbo,-0.25968658924102783
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,65000,elbo,-0.24982348084449768
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,70000,elbo,-0.23233027756214142
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,75000,elbo,-0.24111080169677734
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,80000,elbo,-0.332410603761673
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,85000,elbo,-0.2191811203956604
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,90000,elbo,-0.19373448193073273
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,95000,elbo,-0.1932496726512909
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,100000,elbo,-0.1926562339067459
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,5000,kl_ite,2.6420505864461963
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,10000,kl_ite,2.752570853125983
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,15000,kl_ite,2.7427411183540396
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,20000,kl_ite,2.7566105323869006
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,25000,kl_ite,2.735008169018073
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,30000,kl_ite,2.7185918305904635
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,35000,kl_ite,2.7806300063728213
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,40000,kl_ite,2.739197029763363
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,45000,kl_ite,2.733381819923811
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,50000,kl_ite,2.768043481270224
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,55000,kl_ite,2.7388551447953073
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,60000,kl_ite,2.7382667274612817
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,65000,kl_ite,2.7502827289462055
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,70000,kl_ite,2.7214000505287848
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,75000,kl_ite,2.693927593266819
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,80000,kl_ite,2.7143699124717555
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,85000,kl_ite,2.750826150270764
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,90000,kl_ite,2.74055906467813
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,95000,kl_ite,2.5337430422475387
