checkpoint_dir,checkpoint_epoch,duration_sec,elbo,elbo_runtime_sec,errors,kde_elm,kde_elm_runtime_sec,method,nll,rmse,rmse_nll_runtime_sec,run_id,seed,summary_iterations,target,training_time_sec,w2,w2_edge_10,w2_edge_10_runtime_sec,w2_edge_5,w2_edge_5_runtime_sec,w2_edge_8,w2_edge_8_runtime_sec,w2_runtime_sec,w2_trunc_abs_6,w2_trunc_abs_6_runtime_sec,w2_trunc_abs_8,w2_trunc_abs_8_runtime_sec,wall_clock_sec
results/default_config_grid/KSIVI/x_shaped/20260428_064249/checkpoints/epoch_50000,50000,417.0139540731907,-0.15524174273014069,1.504044521600008,{},,,KSIVI,,,,seed42_ksivi_x_shaped,42,50000.0,x_shaped,373.9208984375,0.46756038069725037,,,,,,,0.03228439390659332,,,,,417.0139540731907
results/default_config_grid/SIVI/8_gaussians/20260428_064309/checkpoints/epoch_10000,10000,186.0920903198421,-0.1629226803779602,1.5017312206327915,{},,,SIVI,,,,seed43_sivi_8_gaussians,43,10000.0,8_gaussians,149.75779724121094,0.14000453054904938,,,,,,,0.03347319737076759,0.15359924733638763,0.036771032959222794,,,186.0920903198421
results/default_config_grid/SIVI/banana/20260428_064431/checkpoints/epoch_10000,10000,155.66676186025143,-0.002852099947631359,1.4924186915159225,{},,,SIVI,,,,seed43_sivi_banana,43,10000.0,banana,151.0214385986328,0.06519202142953873,,,,,,,0.03791533038020134,,,,,155.66676186025143
results/default_config_grid/SIVI/Bnn_boston/20260501_145741/checkpoints/epoch_10000,10000,648.0259589590132,,,{},,,SIVI,2.5553030967712402,3.1683597564697266,0.006732024252414703,seed43_sivi_bnn_boston,43,10000.0,Bnn_boston,554.0723266601562,,,,,,,,,,,,,648.0259589590132
results/default_config_grid/SIVI/Bnn_concrete/20260501_145741/checkpoints/epoch_10000,10000,397.54496014490724,,,{},,,SIVI,3.420642375946045,7.169950008392334,0.008567605167627335,seed43_sivi_bnn_concrete,43,10000.0,Bnn_concrete,391.4418640136719,,,,,,,,,,,,,397.54496014490724
results/default_config_grid/SIVI/Bnn_power/20260501_150418/checkpoints/epoch_10000,10000,268.8989696390927,,,{},,,SIVI,2.7958340644836426,3.903400182723999,0.008871577680110931,seed43_sivi_bnn_power,43,10000.0,Bnn_power,262.5873718261719,,,,,,,,,,,,,268.8989696390927
results/default_config_grid/SIVI/Bnn_protein/20260501_150828/checkpoints/epoch_10000,10000,434.11822597309947,,,{},,,SIVI,3.0109047889709473,4.852931499481201,0.018225375562906265,seed43_sivi_bnn_protein,43,10000.0,Bnn_protein,427.5766906738281,,,,,,,,,,,,,434.11822597309947
results/default_config_grid/SIVI/Bnn_winered/20260501_150847/checkpoints/epoch_10000,10000,622.6969723254442,,,{},,,SIVI,0.9531669616699219,0.631254255771637,0.006054695695638657,seed43_sivi_bnn_winered,43,10000.0,Bnn_winered,487.1671142578125,,,,,,,,,,,,,622.6969723254442
results/default_config_grid/SIVI/Bnn_yacht/20260501_151441/checkpoints/epoch_10000,10000,332.4367204941809,,,{},,,SIVI,1.7966866493225098,1.7350293397903442,0.0020960457623004913,seed43_sivi_bnn_yacht,43,10000.0,Bnn_yacht,326.0680236816406,,,,,,,,,,,,,332.4367204941809
results/default_config_grid/SIVI/Langevin_post/20260429_220705/checkpoints/epoch_10000,10000,328.8618092276156,-178.47068786621094,2.4327810183167458,{},58.07237243652344,0.6201702915132046,SIVI,,,,seed43_sivi_langevin_post,43,10000.0,Langevin_post,322.2794189453125,0.03447863087058067,,,,,,,0.043295592069625854,,,,,328.8618092276156
results/default_config_grid/SIVI/multimodal/20260428_065849/checkpoints/epoch_10000,10000,157.16264567896724,-0.0015825697919353843,1.5793243311345577,{},,,SIVI,,,,seed43_sivi_multimodal,43,10000.0,multimodal,152.55514526367188,0.03355133533477783,,,,,,,0.033344049006700516,,,,,157.16264567896724
results/default_config_grid/SIVI/student_uc/20260428_070030/checkpoints/epoch_10000,10000,154.33674986287951,-2.6744725704193115,1.5105487443506718,{},,,SIVI,,,,seed43_sivi_student_uc,43,10000.0,student_uc,149.09640502929688,0.6071790456771851,0.1501166969537735,0.05897829681634903,0.04362973943352699,0.04429491609334946,0.11084472388029099,0.03405887261033058,0.03330891206860542,,,0.141289621591568,0.03395456448197365,154.33674986287951
results/default_config_grid/SIVI/x_shaped/20260428_070030/checkpoints/epoch_10000,10000,158.40036166086793,-0.001883668708615005,1.5056016147136688,{},,,SIVI,,,,seed43_sivi_x_shaped,43,10000.0,x_shaped,151.3874969482422,0.03869248926639557,,,,,,,0.03252977132797241,,,,,158.40036166086793
results/default_config_grid/UIVI/8_gaussians/20260428_070030/checkpoints/epoch_10000,10000,778.0180663131177,-0.7619037628173828,1.505385234951973,{},,,UIVI,,,,seed43_uivi_8_gaussians,43,10000.0,8_gaussians,755.5010375976562,0.39263156056404114,,,,,,,0.032835230231285095,0.4344196617603302,0.031335655599832535,,,778.0180663131177
results/default_config_grid/UIVI/banana/20260428_070126/checkpoints/epoch_10000,10000,834.597379270941,-0.026301184669137,1.4933428913354874,{},,,UIVI,,,,seed43_uivi_banana,43,10000.0,banana,797.550048828125,0.3573576509952545,,,,,,,0.04109029099345207,,,,,834.597379270941
results/default_config_grid/UIVI/Bnn_boston/20260501_151504/checkpoints/epoch_10000,10000,890.3451053351164,,,{},,,UIVI,2.642256736755371,3.577101707458496,0.006925642490386963,seed43_uivi_bnn_boston,43,10000.0,Bnn_boston,738.5994873046875,,,,,,,,,,,,,890.3451053351164
