target,seed,epoch,z_dim,n_samples,score_p_4th_moment,score_q_4th_moment,score_p_mean_norm,score_q_mean_norm,run_id,duration_sec
Langevin_post,46,6000,100,10240,504333920.0,401923328.0,147.9486541748047,140.20738220214844,seed46_dsivi_langevin_post,0.015
Langevin_post,46,7000,100,10240,490335232.0,415734112.0,146.9391632080078,141.3440704345703,seed46_dsivi_langevin_post,0.013
Langevin_post,46,8000,100,10240,480275968.0,416183776.0,146.25634765625,141.42408752441406,seed46_dsivi_langevin_post,0.013
Langevin_post,46,9000,100,10240,479454624.0,420426656.0,146.1842498779297,141.80039978027344,seed46_dsivi_langevin_post,0.017
Langevin_post,46,10000,100,10240,472569152.0,418513088.0,145.6503448486328,141.6062774658203,seed46_dsivi_langevin_post,0.012
x_shaped,46,1000,2,10240,780.4889526367188,3.396620273590088,3.1301426887512207,0.8782850503921509,seed46_dsivi_x_shaped,0.006
x_shaped,46,2000,2,10240,335.52447509765625,13.94756031036377,2.700176954269409,1.2432578802108765,seed46_dsivi_x_shaped,0.006
x_shaped,46,3000,2,10240,110.2439193725586,14.97296142578125,2.074880361557007,1.273131012916565,seed46_dsivi_x_shaped,0.006
x_shaped,46,4000,2,10240,69.70208740234375,31.7552547454834,1.8372230529785156,1.6128177642822266,seed46_dsivi_x_shaped,0.006
x_shaped,46,5000,2,10240,39.767154693603516,42.001407623291016,1.676767349243164,1.645857810974121,seed46_dsivi_x_shaped,0.009
x_shaped,46,6000,2,10240,44.15703582763672,46.47592544555664,1.688592553138733,1.731990098953247,seed46_dsivi_x_shaped,0.006
x_shaped,46,7000,2,10240,44.47249984741211,32.771846771240234,1.6950047016143799,1.6188122034072876,seed46_dsivi_x_shaped,0.008
x_shaped,46,8000,2,10240,45.850650787353516,49.23426055908203,1.7168644666671753,1.8121919631958008,seed46_dsivi_x_shaped,0.007
x_shaped,46,9000,2,10240,43.148040771484375,42.33452606201172,1.6753402948379517,1.6634975671768188,seed46_dsivi_x_shaped,0.006
x_shaped,46,10000,2,10240,44.45382308959961,43.34627151489258,1.699892282485962,1.661512017250061,seed46_dsivi_x_shaped,0.006
Langevin_post,47,1000,100,10240,8394237440.0,22663834.0,298.5805358886719,68.31422424316406,seed47_dsivi_langevin_post,0.014
Langevin_post,47,2000,100,10240,2932149504.0,64378644.0,229.5533447265625,88.69573974609375,seed47_dsivi_langevin_post,0.012
Langevin_post,47,3000,100,10240,1464537984.0,136929712.0,193.02566528320312,107.14631652832031,seed47_dsivi_langevin_post,0.015
Langevin_post,47,4000,100,10240,880528704.0,233020464.0,170.0059356689453,122.3898696899414,seed47_dsivi_langevin_post,0.017
Langevin_post,47,5000,100,10240,607777600.0,346762048.0,155.0022735595703,135.2058563232422,seed47_dsivi_langevin_post,0.012
Langevin_post,47,6000,100,10240,524440064.0,401616800.0,149.44064331054688,140.24417114257812,seed47_dsivi_langevin_post,0.012
Langevin_post,47,7000,100,10240,507256480.0,414644224.0,148.15774536132812,141.3285369873047,seed47_dsivi_langevin_post,0.012
Langevin_post,47,8000,100,10240,499201024.0,416602080.0,147.58302307128906,141.48199462890625,seed47_dsivi_langevin_post,0.012
Langevin_post,47,9000,100,10240,490303392.0,417737280.0,146.96726989746094,141.56610107421875,seed47_dsivi_langevin_post,0.014
Langevin_post,47,10000,100,10240,487649888.0,420401248.0,146.74888610839844,141.7876434326172,seed47_dsivi_langevin_post,0.018
x_shaped,47,1000,2,10240,1006.13623046875,1.9857181310653687,3.398827075958252,0.8210479617118835,seed47_dsivi_x_shaped,0.006
x_shaped,47,2000,2,10240,402.7872009277344,4.964198112487793,2.5072293281555176,1.0940607786178589,seed47_dsivi_x_shaped,0.006
x_shaped,47,3000,2,10240,301.4126892089844,19.604337692260742,2.4019336700439453,1.4699376821517944,seed47_dsivi_x_shaped,0.006
x_shaped,47,4000,2,10240,103.42281341552734,32.5145263671875,1.9233497381210327,1.5540577173233032,seed47_dsivi_x_shaped,0.008
x_shaped,47,5000,2,10240,100.74071502685547,28.796457290649414,1.8925434350967407,1.5311517715454102,seed47_dsivi_x_shaped,0.006
x_shaped,47,6000,2,10240,88.4782943725586,34.95512008666992,1.901971459388733,1.668089747428894,seed47_dsivi_x_shaped,0.005
x_shaped,47,7000,2,10240,64.62865447998047,35.14234924316406,1.7662162780761719,1.6592696905136108,seed47_dsivi_x_shaped,0.006
