method,target,seed,epoch,batch_size,repetition,latency_ms
UIVI,x_shaped,42,10000,128,53,213.562015
UIVI,x_shaped,42,10000,128,54,214.949698
UIVI,x_shaped,42,10000,128,55,213.667966
UIVI,x_shaped,42,10000,128,56,217.048422
UIVI,x_shaped,42,10000,128,57,181.391747
UIVI,x_shaped,42,10000,128,58,157.147898
UIVI,x_shaped,42,10000,128,59,214.045472
UIVI,x_shaped,42,10000,128,60,214.886516
UIVI,x_shaped,42,10000,128,61,213.368184
UIVI,x_shaped,42,10000,128,62,213.216166
UIVI,x_shaped,42,10000,128,63,213.92749
UIVI,x_shaped,42,10000,128,64,213.12419
UIVI,x_shaped,42,10000,128,65,215.815924
UIVI,x_shaped,42,10000,128,66,217.223942
UIVI,x_shaped,42,10000,128,67,212.918368
UIVI,x_shaped,42,10000,128,68,216.447428
UIVI,x_shaped,42,10000,128,69,169.987807
UIVI,x_shaped,42,10000,128,70,216.214759
UIVI,x_shaped,42,10000,128,71,171.441729
UIVI,x_shaped,42,10000,128,72,194.206574
UIVI,x_shaped,42,10000,128,73,196.415712
UIVI,x_shaped,42,10000,128,74,160.605421
UIVI,x_shaped,42,10000,128,75,163.695442
UIVI,x_shaped,42,10000,128,76,210.610211
UIVI,x_shaped,42,10000,128,77,219.714769
UIVI,x_shaped,42,10000,128,78,210.992518
UIVI,x_shaped,42,10000,128,79,212.296123
UIVI,x_shaped,42,10000,128,80,213.406023
UIVI,x_shaped,42,10000,128,81,211.392348
UIVI,x_shaped,42,10000,128,82,188.616584
UIVI,x_shaped,42,10000,128,83,213.491321
UIVI,x_shaped,42,10000,128,84,200.295533
UIVI,x_shaped,42,10000,128,85,215.106903
UIVI,x_shaped,42,10000,128,86,216.489072
UIVI,x_shaped,42,10000,128,87,227.84324
UIVI,x_shaped,42,10000,128,88,153.325745
UIVI,x_shaped,42,10000,128,89,173.935993
UIVI,x_shaped,42,10000,128,90,213.899053
UIVI,x_shaped,42,10000,128,91,170.805938
UIVI,x_shaped,42,10000,128,92,215.034893
UIVI,x_shaped,42,10000,128,93,214.589946
UIVI,x_shaped,42,10000,128,94,213.053237
UIVI,x_shaped,42,10000,128,95,212.790425
UIVI,x_shaped,42,10000,128,96,215.612252
UIVI,x_shaped,42,10000,128,97,214.443445
UIVI,x_shaped,42,10000,128,98,215.006963
UIVI,x_shaped,42,10000,128,99,215.30271
UIVI,x_shaped,42,10000,128,100,214.978254
AISIVI,x_shaped,42,10000,1,1,6.09609
AISIVI,x_shaped,42,10000,1,2,6.025335
AISIVI,x_shaped,42,10000,1,3,5.886312
AISIVI,x_shaped,42,10000,1,4,6.285393
AISIVI,x_shaped,42,10000,1,5,5.787363
AISIVI,x_shaped,42,10000,1,6,5.601323
AISIVI,x_shaped,42,10000,1,7,5.587304
AISIVI,x_shaped,42,10000,1,8,5.482934
AISIVI,x_shaped,42,10000,1,9,5.432782
AISIVI,x_shaped,42,10000,1,10,5.487765
