recipe_id,mcmc_type,step_schedule,nominal_step,k_mode,annealing_steps,seeds_complete,n_seeds,kl_mean,kl_std,w2_mean,w2_std,pareto,status
sgld-coupled-step0p20-k1to20-ann100k,sgld,coupled,0.20,k1to20,100000,"0,1,7",3,0.16904162743454987,0.007469774869283012,0.11935474971930186,0.032177674391490954,False,complete
sgld-coupled-step0p20-k1to20-ann50k,sgld,coupled,0.20,k1to20,50000,"0,1,7",3,0.06719335696110505,0.013462569225975822,0.07116062194108963,0.0010528676814137113,True,complete
sgld-coupled-step0p20-k2-ann100k,sgld,coupled,0.20,k2,100000,"0,1,7",3,0.14760298533975852,0.02636752395230507,0.14297336091597876,0.033687804214739596,False,complete
sgld-coupled-step0p20-k2-ann50k,sgld,coupled,0.20,k2,50000,"0,1,7",3,0.06962736676289842,0.03340753810876789,0.15626664708058038,0.06961372859691095,False,complete
sgld-coupled-step0p20-k5-ann100k,sgld,coupled,0.20,k5,100000,"0,1,7",3,0.1454938661734276,0.011677169143039666,0.11919281135002772,0.039484788373393864,False,complete
sgld-coupled-step0p20-k5-ann50k,sgld,coupled,0.20,k5,50000,"0,1,7",3,0.0811457333843567,0.006382685520822295,0.10480538258949916,0.02547629717078887,False,complete
sgld-coupled-step0p50-k1-ann100k,sgld,coupled,0.50,k1,100000,"0,1,7",3,0.5773599313031244,0.510896748668673,0.36093977590401966,0.34402457182708784,False,complete
sgld-coupled-step0p50-k1-ann50k,sgld,coupled,0.50,k1,50000,"0,1,7",3,0.14066176311031872,0.017624907244035457,0.1454814150929451,0.03485077811644548,False,complete
sgld-coupled-step0p50-k10-ann100k,sgld,coupled,0.50,k10,100000,"0,1,7",3,1.2662616601973695,0.8533625691491833,0.5841546952724457,0.38239470436775874,False,complete
sgld-coupled-step0p50-k10-ann50k,sgld,coupled,0.50,k10,50000,"0,1,7",3,0.934411661542884,0.6464740284306719,0.4634345968564351,0.2881316529574143,False,complete
sgld-coupled-step0p50-k1to20-ann100k,sgld,coupled,0.50,k1to20,100000,"0,1,7",3,0.7531982323400793,0.5697709178042236,0.356943815946579,0.2987091109622677,False,complete
sgld-coupled-step0p50-k1to20-ann50k,sgld,coupled,0.50,k1to20,50000,"0,1,7",3,0.21477979250217916,0.007558929236110682,0.13839592039585114,0.005358717393158236,False,complete
sgld-coupled-step0p50-k2-ann100k,sgld,coupled,0.50,k2,100000,"0,1,7",3,0.3127598414305135,0.009246854443597052,0.16084607938925424,0.008894174418832383,False,complete
sgld-coupled-step0p50-k2-ann50k,sgld,coupled,0.50,k2,50000,"0,1,7",3,0.16604975554816553,0.011601399238283107,0.13038220008214316,0.014404518669255248,False,complete
sgld-coupled-step0p50-k5-ann100k,sgld,coupled,0.50,k5,100000,"0,1,7",3,0.9558504944031961,0.9995855978821977,0.4210627128680547,0.43722486509308134,False,complete
sgld-coupled-step0p50-k5-ann50k,sgld,coupled,0.50,k5,50000,"0,1,7",3,0.507339495323573,0.571504930502179,0.3111509730418523,0.2993303253252466,False,complete
