chain,epoch,method,progress,reference_internal_l2,reference_seed,repeat,replication_unit,run_id,runtime_sec,seed,target
4,8000,SIVI,0.8,0.1738588810663781,2000624487,4,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
5,8000,SIVI,0.8,0.16151713801710335,2000624487,5,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
6,8000,SIVI,0.8,0.17864639090205786,2000624487,6,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
7,8000,SIVI,0.8,0.1732676721280766,2000624487,7,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
8,8000,SIVI,0.8,0.17330421323968306,2000624487,8,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
9,8000,SIVI,0.8,0.18711843408497747,2000624487,9,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
0,10000,SIVI,1.0,0.1842048906386109,148797538,0,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
1,10000,SIVI,1.0,0.1833327427762254,148797538,1,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
2,10000,SIVI,1.0,0.17456150074537383,148797538,2,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
3,10000,SIVI,1.0,0.19271652871208655,148797538,3,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
4,10000,SIVI,1.0,0.19772950355859165,148797538,4,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
5,10000,SIVI,1.0,0.20927614580994444,148797538,5,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
6,10000,SIVI,1.0,0.18818823453860678,148797538,6,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
7,10000,SIVI,1.0,0.19001546020131693,148797538,7,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
8,10000,SIVI,1.0,0.1901085136151944,148797538,8,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
9,10000,SIVI,1.0,0.2246880656819898,148797538,9,hmc_chain,seed45_sivi_x_shaped,9.629062730818987,45,x_shaped
0,2000,SIVI,0.2,0.0929867757847021,1430538772,0,hmc_chain,seed46_sivi_x_shaped,9.339237347617745,46,x_shaped
1,2000,SIVI,0.2,0.09759257327628543,1430538772,1,hmc_chain,seed46_sivi_x_shaped,9.339237347617745,46,x_shaped
2,2000,SIVI,0.2,0.09902290367466676,1430538772,2,hmc_chain,seed46_sivi_x_shaped,9.339237347617745,46,x_shaped
3,2000,SIVI,0.2,0.09358124891029013,1430538772,3,hmc_chain,seed46_sivi_x_shaped,9.339237347617745,46,x_shaped
4,2000,SIVI,0.2,0.08660747332665683,1430538772,4,hmc_chain,seed46_sivi_x_shaped,9.339237347617745,46,x_shaped
5,2000,SIVI,0.2,0.08253146255451803,1430538772,5,hmc_chain,seed46_sivi_x_shaped,9.339237347617745,46,x_shaped
6,2000,SIVI,0.2,0.09249905994467596,1430538772,6,hmc_chain,seed46_sivi_x_shaped,9.339237347617745,46,x_shaped
