2026-03-28 21:55:04 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1400, ELBO: -179.0613, Std Total: 86.2172, Std Q: nan, CI Half: 2.3898
2026-03-28 21:55:04 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1400, VI KSD: 5.0527
2026-03-28 21:55:18 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1500: Avg Loss: 6.3629, Avg Epoch Time: 0.1489s
2026-03-28 21:55:18 | DEBUG | sivi:base_reverse_runner.py:183| _training_rev_log_func | Epoch 1500, Inner epoch 1, Reverse Model Loss: 121.1538, Avg Steps: 1.0000
2026-03-28 21:55:18 | DEBUG | sivi:base_runner.py:588| save_samples | Saved 1000 samples at epoch 1500.
2026-03-28 21:55:18 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1500, VI W2 to baseline: 0.1742
2026-03-28 21:55:18 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1500, Reverse Model W2: 0.0725
2026-03-28 21:55:18 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1500, ELBO: -169.3714, Std Total: 89.9335, Std Q: nan, CI Half: 2.4928
2026-03-28 21:55:18 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1500, VI KSD: 4.8425
2026-03-28 21:55:21 | DEBUG | sivi:base_runner.py:978| learn | Saved trace plot at epoch 1500.
2026-03-28 21:55:34 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1600: Avg Loss: 5.9546, Avg Epoch Time: 0.1601s
2026-03-28 21:55:34 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1600, VI W2 to baseline: 0.1830
2026-03-28 21:55:34 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1600, Reverse Model W2: 0.0769
2026-03-28 21:55:34 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1600, ELBO: -159.1310, Std Total: 95.9782, Std Q: nan, CI Half: 2.6604
2026-03-28 21:55:34 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1600, VI KSD: 4.9391
2026-03-28 21:55:49 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1700: Avg Loss: 8.3204, Avg Epoch Time: 0.1481s
2026-03-28 21:55:49 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1700, VI W2 to baseline: 0.1720
2026-03-28 21:55:49 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1700, Reverse Model W2: 0.0701
2026-03-28 21:55:49 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1700, ELBO: -146.9147, Std Total: 100.3788, Std Q: nan, CI Half: 2.7824
2026-03-28 21:55:49 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1700, VI KSD: 3.9855
2026-03-28 21:56:04 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1800: Avg Loss: 2.6113, Avg Epoch Time: 0.1507s
2026-03-28 21:56:04 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1800, VI W2 to baseline: 0.2012
2026-03-28 21:56:04 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1800, Reverse Model W2: 0.0777
2026-03-28 21:56:04 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1800, ELBO: -142.7581, Std Total: 96.5379, Std Q: nan, CI Half: 2.6759
2026-03-28 21:56:04 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1800, VI KSD: 4.8451
2026-03-28 21:56:19 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1900: Avg Loss: 9.3767, Avg Epoch Time: 0.1535s
2026-03-28 21:56:19 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1900, VI W2 to baseline: 0.1751
2026-03-28 21:56:19 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1900, Reverse Model W2: 0.0618
2026-03-28 21:56:20 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1900, ELBO: -127.7925, Std Total: 116.0610, Std Q: nan, CI Half: 3.2170
