sampler,chain,draw,epsilon_0,epsilon_1
MALA_tail,7,10,0.05593590,0.31096864
MALA_tail,7,11,0.04716002,0.27216557
MALA_tail,7,12,0.07720675,0.25450355
MALA_tail,7,13,0.13728851,0.28023037
MALA_tail,7,14,0.09572480,0.22549888
MALA_tail,7,15,0.10269872,0.21424766
MALA_tail,7,16,0.11199341,0.16027570
MALA_tail,7,17,0.08084089,0.15410073
MALA_tail,7,18,0.11665793,0.09858268
MALA_tail,7,19,0.09060895,0.11318671
MALA_tail,7,20,0.05644102,0.07991952
MALA_tail,7,21,0.05786351,0.17207193
MALA_tail,7,22,0.07562555,0.16488340
MALA_tail,7,23,0.05702398,0.19840455
MALA_tail,7,24,0.04217405,0.22743355
MALA_tail,7,25,0.06665433,0.19190465
MALA_tail,7,26,0.10626957,0.17980090
MALA_tail,7,27,0.09475893,0.18475763
MALA_tail,7,28,0.08653646,0.23811194
MALA_tail,7,29,0.07868633,0.21495341
MALA_tail,7,30,0.00790550,0.21797411
MALA_tail,7,31,-0.00600289,0.22951025
MALA_tail,7,32,-0.07653980,0.18527392
MALA_tail,7,33,-0.08924650,0.16990899
MALA_tail,7,34,-0.14205727,0.21359745
MALA_tail,7,35,-0.15393759,0.20322154
MALA_tail,7,36,-0.11435653,0.22988626
MALA_tail,7,37,-0.14818406,0.19121833
MALA_tail,7,38,-0.13812140,0.14265153
MALA_tail,7,39,-0.14660424,0.11758992
MALA_tail,7,40,-0.16667847,0.16732967
MALA_tail,7,41,-0.19557379,0.16207142
MALA_tail,7,42,-0.23144700,0.11892321
MALA_tail,7,43,-0.23997942,0.07341788
MALA_tail,7,44,-0.26830328,0.06040062
MALA_tail,7,45,-0.24197820,0.09001997
MALA_tail,7,46,-0.29454094,0.04660000
MALA_tail,7,47,-0.28961977,0.08476865
MALA_tail,7,48,-0.25154233,0.11483211
MALA_tail,7,49,-0.26895893,0.12318714
MALA_tail,8,0,-0.48992819,-0.15720257
MALA_tail,8,1,-0.45388612,-0.18782729
MALA_tail,8,2,-0.43549383,-0.21613321
MALA_tail,8,3,-0.38954389,-0.23318608
MALA_tail,8,4,-0.41933623,-0.18001349
MALA_tail,8,5,-0.46881062,-0.19221430
MALA_tail,8,6,-0.47632125,-0.19728844
MALA_tail,8,7,-0.52099681,-0.20575555
MALA_tail,8,8,-0.52474087,-0.21760921
MALA_tail,8,9,-0.56010646,-0.21492064
MALA_tail,8,10,-0.52947474,-0.27394235
MALA_tail,8,11,-0.50975102,-0.30740991
MALA_tail,8,12,-0.52202642,-0.33031735
MALA_tail,8,13,-0.54531819,-0.37132511
MALA_tail,8,14,-0.53893095,-0.42856941
MALA_tail,8,15,-0.52141380,-0.41933155
MALA_tail,8,16,-0.45365661,-0.41627255
MALA_tail,8,17,-0.53138828,-0.46618539
MALA_tail,8,18,-0.54240012,-0.44793624
MALA_tail,8,19,-0.56170118,-0.39191562
MALA_tail,8,20,-0.53778964,-0.41271129
MALA_tail,8,21,-0.54661578,-0.39333937
MALA_tail,8,22,-0.51901561,-0.36829123
MALA_tail,8,23,-0.50437522,-0.41272947
MALA_tail,8,24,-0.53059226,-0.35437363
MALA_tail,8,25,-0.50535512,-0.38070655
MALA_tail,8,26,-0.47553143,-0.38884366
MALA_tail,8,27,-0.46105194,-0.36874670
MALA_tail,8,28,-0.43188351,-0.37029377
MALA_tail,8,29,-0.41896313,-0.39744329
MALA_tail,8,30,-0.44391054,-0.36415020
MALA_tail,8,31,-0.44248393,-0.33103418
MALA_tail,8,32,-0.44070256,-0.34953222
MALA_tail,8,33,-0.41827500,-0.26117435
MALA_tail,8,34,-0.40660286,-0.22552942
