2026-03-28 21:34:34 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 60, Reverse Model KL ITE: 0.0100
2026-03-28 21:34:34 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 60, VI W2 to baseline: 0.8551
2026-03-28 21:34:34 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 60, Reverse Model W2: 0.0407
2026-03-28 21:34:34 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 60, ELBO: -4.8285, Std Total: 11.9030, Std Q: nan, CI Half: 1.0433
2026-03-28 21:34:34 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 60, VI KSD: 6.4499
2026-03-28 21:34:35 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 70, VI KL to baseline: 2.3378
2026-03-28 21:34:35 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 70, Reverse Model KL ITE: 0.0246
2026-03-28 21:34:35 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 70, VI W2 to baseline: 0.8316
2026-03-28 21:34:35 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 70, Reverse Model W2: 0.0461
2026-03-28 21:34:35 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 70, ELBO: -5.0074, Std Total: 10.7444, Std Q: nan, CI Half: 0.9418
2026-03-28 21:34:35 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 70, VI KSD: 5.9592
2026-03-28 21:34:35 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 80, VI KL to baseline: 2.3016
2026-03-28 21:34:36 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 80, Reverse Model KL ITE: 0.0360
2026-03-28 21:34:36 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 80, VI W2 to baseline: 0.8527
2026-03-28 21:34:36 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 80, Reverse Model W2: 0.0513
2026-03-28 21:34:36 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 80, ELBO: -4.5367, Std Total: 8.9782, Std Q: nan, CI Half: 0.7870
2026-03-28 21:34:36 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 80, VI KSD: 4.8665
2026-03-28 21:34:36 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 90, VI KL to baseline: 2.2719
2026-03-28 21:34:36 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 90, Reverse Model KL ITE: 0.0596
2026-03-28 21:34:36 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 90, VI W2 to baseline: 0.8855
2026-03-28 21:34:36 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 90, Reverse Model W2: 0.0580
2026-03-28 21:34:36 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 90, ELBO: -5.3641, Std Total: 10.3632, Std Q: nan, CI Half: 0.9084
2026-03-28 21:34:36 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 90, VI KSD: 4.4430
2026-03-28 21:34:37 | DEBUG | sivi:base_runner.py:874| learn | Epoch 100: Avg Loss: 0.0424, Avg Epoch Time: 0.0712s
2026-03-28 21:34:37 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 100, VI KL to baseline: 2.1448
2026-03-28 21:34:37 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 100, Reverse Model KL ITE: 0.0202
2026-03-28 21:34:37 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 100, VI W2 to baseline: 0.9405
2026-03-28 21:34:37 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 100, Reverse Model W2: 0.0420
2026-03-28 21:34:37 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 100, ELBO: -4.2504, Std Total: 9.1729, Std Q: nan, CI Half: 0.8040
2026-03-28 21:34:37 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 100, VI KSD: 5.1311
2026-03-28 21:34:38 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 110, VI KL to baseline: 2.1672
2026-03-28 21:34:38 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 110, Reverse Model KL ITE: 0.0265
2026-03-28 21:34:38 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 110, VI W2 to baseline: 0.9141
2026-03-28 21:34:38 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 110, Reverse Model W2: 0.0610
2026-03-28 21:34:38 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 110, ELBO: -5.4229, Std Total: 14.7577, Std Q: nan, CI Half: 1.2936
2026-03-28 21:34:38 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 110, VI KSD: 5.1088
2026-03-28 21:34:38 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 120, VI KL to baseline: 2.2680
2026-03-28 21:34:38 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 120, Reverse Model KL ITE: 0.0139
2026-03-28 21:34:38 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 120, VI W2 to baseline: 0.8636
2026-03-28 21:34:38 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 120, Reverse Model W2: 0.0482
2026-03-28 21:34:38 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 120, ELBO: -4.9844, Std Total: 9.1854, Std Q: nan, CI Half: 0.8051
2026-03-28 21:34:38 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 120, VI KSD: 5.2938
2026-03-28 21:34:39 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 130, VI KL to baseline: 2.2005
2026-03-28 21:34:39 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 130, Reverse Model KL ITE: 0.0173
2026-03-28 21:34:39 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 130, VI W2 to baseline: 0.8762
2026-03-28 21:34:39 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 130, Reverse Model W2: 0.0654
2026-03-28 21:34:39 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 130, ELBO: -5.5927, Std Total: 16.0469, Std Q: nan, CI Half: 1.4066
2026-03-28 21:34:39 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 130, VI KSD: 4.8442
2026-03-28 21:34:39 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 140, VI KL to baseline: 2.1230
2026-03-28 21:34:39 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 140, Reverse Model KL ITE: 0.0249
